player_id,player_name,position,team,model_score,position_rank,recommendation
5133,"Tyler Conklin",TE,DET,22.1,91,SIT
11716,"Tip Reiman",TE,ARI,21.8,92,SIT
7536,"Quintin Morris",TE,JAX,21.6,93,SIT
10220,"Will Mallory",TE,IND,21.5,94,SIT
11600,"Ja'Tavion Sanders",TE,CAR,21.4,95,SIT
8219,"Jelani Woods",TE,NYJ,21.4,96,SIT
10212,"Josh Whyle",TE,GB,21.4,97,SIT
7842,"Luke Farrell",TE,SF,21.1,98,SIT
8127,"Charlie Kolar",TE,LAC,20.9,99,SIT
4189,"Eric Saubert",TE,SEA,20.9,100,SIT
12473,"Mitchell Evans",TE,CAR,20.9,101,SIT
7075,"Charlie Woerner",TE,ATL,20.8,102,SIT
11820,"Devin Culp",TE,TB,20.6,103,SIT
11595,"Jared Wiley",TE,KC,20.3,104,SIT
8227,"Teagan Quitoriano",TE,ARI,20.1,105,SIT
10227,"Payne Durham",TE,TB,19.8,106,SIT
11381,"Travis Vokolek",TE,ARI,19.7,107,SIT
10210,"Cameron Latu",TE,NE,19.6,108,SIT
12389,"Hayden Rucci",TE,JAX,19.6,109,SIT
4443,"Pharaoh Brown",TE,IND,19.3,110,SIT
12045,"Jack Westover",TE,WAS,19,111,SIT
5008,"Durham Smythe",TE,BAL,18.8,112,SIT
11942,"Colson Yankoff",TE,WAS,18.5,113,SIT
3048,"Chris Manhertz",TE,NYG,18.4,114,SIT
11304,"E.J. Jenkins",TE,PHI,18.4,115,SIT
8484,"Ko Kieft",TE,TB,18.2,116,SIT
4602,"Robert Tonyan",TE,PIT,17.7,117,SIT
7602,"Kylen Granson",TE,TEN,17.4,118,SIT
11508,"Princeton Fant",TE,DAL,17.4,119,SIT
12357,"David Martin-Robinson",TE,TEN,15.4,120,SIT
13121,"Ben Yurosek",TE,MIN,14.9,121,SIT
13151,"Nick Kallerup",TE,SEA,14.6,122,SIT
7531,"Feleipe Franks",TE,CAR,14.5,123,SIT
13122,"Carter Runyon",TE,LV,14.4,124,SIT
8107,"Nikola Kalinic",TE,CHI,14.2,125,SIT
