player_id,player_name,position,team,opponent,offensive_play_caller,defensive_play_caller,play_caller_matchup_score,play_caller_historical_ppr,play_caller_sample_size,player_vs_defensive_caller_score,player_vs_defensive_caller_ppr,player_vs_defensive_caller_sample_size,model_score,position_rank,recommendation
13305,"Mike Washington",RB,LV,LAC,"Klint Kubiak","Chris O'Leary",50,,0,50,,0,32.8,65,SIT
13345,"Jonah Coleman",RB,DEN,JAX,"Davis Webb","Anthony Campanile",50,,0,50,,0,32.4,66,SIT
11576,"Braelon Allen",RB,NYJ,GB,"Frank Reich","Jonathan Gannon",55,24.1,1,50,,0,32.3,67,SIT
9757,"Kendre Miller",RB,NO,BAL,"Kellen Moore","Jesse Minter",50,,0,32,1.6,1,32.2,68,SIT
13424,"Seth McGowan",RB,IND,KC,"Shane Steichen","Steve Spagnuolo",39,8.6,1,50,,0,31.9,69,SIT
13302,"Adam Randall",RB,BAL,NO,"Declan Doyle","Brandon Staley",50,,0,50,,0,31.8,70,SIT
9225,"Tank Bigsby",RB,PHI,TEN,"Sean Mannion","Robert Saleh",50,,0,50,,0,31.7,71,SIT
12467,"Jordan James",RB,SF,MIA,"Kyle Shanahan","Jeff Hafley",42,12.1,1,50,,0,31.5,72,SIT
12495,"Ollie Gordon",RB,MIA,SF,"Bobby Slowik","Raheem Morris",50,,0,50,,0,31.3,73,SIT
12490,"Bhayshul Tuten",RB,JAX,DEN,"Liam Coen","Vance Joseph",49,18.95,2,50,,0,30.9,74,SIT
13347,"Demond Claiborne",RB,MIN,CHI,"Kevin O'Connell","Dennis Allen",55,21.73,3,50,,0,30.8,75,SIT
11439,"Jaleel McLaughlin",RB,CLE,TB,"Todd Monken","Todd Bowles",70,39,1,36,3.7,1,30.8,76,SIT
8154,"Brian Robinson",RB,ATL,CAR,"Tommy Rees","Ejiro Evero",50,,0,50,,0,30.6,77,SIT
8800,"Malik Davis",RB,DAL,WAS,"Brian Schottenheimer","Daronte Jones",50,,0,50,,0,30.6,78,SIT
12469,"Dylan Sampson",RB,CLE,TB,"Todd Monken","Todd Bowles",70,39,1,50,,0,30.5,79,SIT
13288,"Nicholas Singleton",RB,TEN,PHI,"Brian Daboll","Vic Fangio",39,12.25,2,50,,0,30.4,80,SIT
11571,"Isaiah Davis",RB,NYJ,GB,"Frank Reich","Jonathan Gannon",55,24.1,1,50,,0,29.7,81,SIT
11199,"Emari Demercado",RB,DAL,WAS,"Brian Schottenheimer","Daronte Jones",50,,0,29,7.6,4,29.4,82,SIT
9511,"Keaton Mitchell",RB,LAC,LV,"Mike McDaniel","Rob Leonard",50,,0,50,,0,29,83,SIT
13047,"Jacardia Wright",RB,SEA,ARI,"Brian Fleury","Nick Rallis",50,,0,50,,0,28.8,84,SIT
11575,"Ray Davis",RB,BUF,DET,"Joe Brady","Kelvin Sheppard",50,,0,50,,0,28.1,85,SIT
12897,"Nate Carter",RB,KC,IND,"Andy Reid","Lou Anarumo",72,27.95,4,37,4.6,1,27.8,86,SIT
6039,"Ty Johnson",RB,BUF,DET,"Joe Brady","Kelvin Sheppard",50,,0,50,,0,27.8,87,SIT
11299,"Zavier Scott",RB,CHI,MIN,"Ben Johnson","Brian Flores",79,30.75,4,50,,0,27.2,88,SIT
9510,"Lew Nichols",RB,PIT,NE,"Mike McCarthy","Zak Kuhr",50,,0,50,,0,26.8,89,SIT
12544,"LeQuint Allen",RB,JAX,DEN,"Liam Coen","Vance Joseph",49,18.95,2,50,,0,26.4,90,SIT
12455,"Brashard Smith",RB,KC,IND,"Andy Reid","Lou Anarumo",72,27.95,4,40,6.6,1,26.3,91,SIT
4219,"Jeremy McNichols",RB,WAS,DAL,"David Blough","Christian Parker",50,,0,50,,0,26.1,92,SIT
8139,"Zamir White",RB,NO,BAL,"Kellen Moore","Jesse Minter",50,,0,50,,0,25.7,93,SIT
9506,"Sean Tucker",RB,TB,CLE,"Zac Robinson","Mike Rutenberg",50,,0,50,,0,25.6,94,SIT
8230,"Ty Chandler",RB,NO,BAL,"Kellen Moore","Jesse Minter",50,,0,30,0,1,25.5,95,SIT
12504,"Kaleb Johnson",RB,GB,NYJ,"Matt LaFleur","Aaron Glenn",46,18.12,4,50,,0,25.4,96,SIT
9220,"Evan Hull",RB,ARI,SEA,"Mike LaFleur","Mike Macdonald",60,29.1,1,50,,0,24.7,97,SIT
12928,"Amar Johnson",RB,LAC,LV,"Mike McDaniel","Rob Leonard",50,,0,50,,0,24.4,98,SIT
5995,"Justice Hill",RB,BAL,NO,"Declan Doyle","Brandon Staley",50,,0,50,,0,24.4,99,SIT
12171,"British Brooks",RB,HOU,CIN,"Nick Caley","Al Golden",50,,0,50,,0,24.2,100,SIT
12491,"Corey Kiner",RB,NE,PIT,"Josh McDaniels","Patrick Graham",46,16.1,1,50,,0,24.1,101,SIT
11370,"Chris Brooks",RB,GB,NYJ,"Matt LaFleur","Aaron Glenn",46,18.12,4,28,3.7,2,23.9,102,SIT
6828,"AJ Dillon",RB,CAR,ATL,"Brad Idzik","Jeff Ulbrich",50,,0,50,,0,23.7,103,SIT
7528,"Najee Harris",RB,NYG,LA,"Matt Nagy","Chris Shula",50,,0,50,,0,23.7,104,SIT
8423,"Brittain Brown",RB,CHI,MIN,"Ben Johnson","Brian Flores",79,30.75,4,50,,0,23.3,105,SIT
8129,"Dameon Pierce",RB,PHI,TEN,"Sean Mannion","Robert Saleh",50,,0,50,,0,22.6,106,SIT
12048,"George Holani",RB,SEA,ARI,"Brian Fleury","Nick Rallis",50,,0,20,3.33,3,22.4,107,SIT
4718,"Dare Ogunbowale",RB,LV,LAC,"Klint Kubiak","Chris O'Leary",50,,0,50,,0,22,108,SIT
11570,"Rasheen Ali",RB,BAL,NO,"Declan Doyle","Brandon Staley",50,,0,50,,0,21.7,109,SIT
11649,"Kendall Milton",RB,CIN,HOU,"Zac Taylor","Matt Burke",50,,0,50,,0,21.2,110,SIT
8195,"Ronnie Rivers",RB,LA,NYG,"Sean McVay","Dennard Wilson",51,20.4,1,50,,0,20.8,111,SIT
6659,"Craig Reynolds",RB,WAS,DAL,"David Blough","Christian Parker",50,,0,50,,0,20.4,112,SIT
11237,"Jacob Saylors",RB,DET,BUF,"Drew Petzing","Jim Leonhard",50,,0,50,,0,20.3,113,SIT
11577,"Will Shipley",RB,PHI,TEN,"Sean Mannion","Robert Saleh",50,,0,50,,0,20,114,SIT
8207,"Tyler Goodson",RB,ATL,CAR,"Tommy Rees","Ejiro Evero",50,,0,30,0,1,19.8,115,SIT
12516,"Kalel Mullings",RB,TEN,PHI,"Brian Daboll","Vic Fangio",39,12.25,2,50,,0,19.6,116,SIT
8123,"Hassan Haskins",RB,NE,PIT,"Josh McDaniels","Patrick Graham",46,16.1,1,50,,0,19.5,117,SIT
12787,"Josh Williams",RB,TB,CLE,"Zac Robinson","Mike Rutenberg",50,,0,50,,0,19.5,118,SIT
11729,"Sione Vaki",RB,DET,BUF,"Drew Petzing","Jim Leonhard",50,,0,50,,0,19.5,119,SIT
12471,"DJ Giddens",RB,IND,KC,"Shane Steichen","Steve Spagnuolo",39,8.6,1,50,,0,19.2,120,SIT
12543,"Tahj Brooks",RB,CIN,HOU,"Zac Taylor","Matt Burke",50,,0,50,,0,19.2,121,SIT
11280,"Brady Russell",RB,SEA,ARI,"Brian Fleury","Nick Rallis",50,,0,30,0,1,18.7,122,SIT
8254,"Julius Chestnut",RB,TEN,PHI,"Brian Daboll","Vic Fangio",39,12.25,2,50,,0,18,123,SIT
7593,"Trey Sermon",RB,ATL,CAR,"Tommy Rees","Ejiro Evero",50,,0,50,,0,17.9,124,SIT
11651,"Isaac Guerendo",RB,SF,MIA,"Kyle Shanahan","Jeff Hafley",42,12.1,1,30,0,1,17.8,125,SIT
10235,"Roschon Johnson",RB,CHI,MIN,"Ben Johnson","Brian Flores",79,30.75,4,32,6.9,3,17.2,126,SIT
12656,"Robbie Ouzts",RB,SEA,ARI,"Brian Fleury","Nick Rallis",50,,0,30,0,1,17,127,SIT
2359,"Ameer Abdullah",RB,JAX,DEN,"Liam Coen","Vance Joseph",49,18.95,2,11,2.9,4,16.9,128,SIT
7204,"Reggie Gilliam",RB,NE,PIT,"Josh McDaniels","Patrick Graham",46,16.1,1,50,,0,16.9,129,SIT
11574,"Dylan Laube",RB,LV,LAC,"Klint Kubiak","Chris O'Leary",50,,0,50,,0,16,130,SIT
6931,"DeeJay Dallas",RB,MIN,CHI,"Kevin O'Connell","Dennis Allen",55,21.73,3,11,0.17,3,15.7,131,SIT
12531,"Trevor Etienne",RB,CAR,ATL,"Brad Idzik","Jeff Ulbrich",50,,0,20,0.1,2,15.5,132,SIT
7720,"Kene Nwangwu",RB,NYJ,GB,"Frank Reich","Jonathan Gannon",55,24.1,1,30,0,1,14.7,133,SIT
6012,"Travis Homer",RB,PIT,NE,"Mike McCarthy","Zak Kuhr",50,,0,0,0.12,4,14.7,134,SIT
8208,"Tyler Badie",RB,DEN,JAX,"Davis Webb","Anthony Campanile",50,,0,32,1.2,1,13.4,135,SIT
9493,"Puka Nacua",WR,LA,NYG,"Sean McVay","Dennard Wilson",70,56.4,1,70,27.6,1,69.6,1,START
7564,"Ja'Marr Chase",WR,CIN,HOU,"Zac Taylor","Matt Burke",50,,0,50,,0,61.4,2,START
8144,"Chris Olave",WR,NO,BAL,"Kellen Moore","Jesse Minter",50,,0,57,18.7,1,61.1,3,START
10229,"Rashee Rice",WR,KC,IND,"Andy Reid","Lou Anarumo",48,26.92,4,66,19.43,3,60.1,4,START
7547,"Amon-Ra St. Brown",WR,DET,BUF,"Drew Petzing","Jim Leonhard",50,,0,50,,0,58.7,5,START
9488,"Jaxon Smith-Njigba",WR,SEA,ARI,"Brian Fleury","Nick Rallis",50,,0,66,18.15,4,58,6,START
2133,"Davante Adams",WR,LA,NYG,"Sean McVay","Dennard Wilson",70,56.4,1,63,22.6,1,53.3,7,START
6794,"Justin Jefferson",WR,MIN,CHI,"Kevin O'Connell","Dennis Allen",54,31.3,3,65,18.97,3,51.5,8,START
5859,"A.J. Brown",WR,NE,PIT,"Josh McDaniels","Patrick Graham",58,39.7,1,50,,0,49.8,9,START
8112,"Drake London",WR,ATL,CAR,"Tommy Rees","Ejiro Evero",50,,0,81,22.38,4,49.3,10,START
11632,"Malik Nabers",WR,NYG,LA,"Matt Nagy","Chris Shula",50,,0,50,,0,49.3,11,START
8146,"Garrett Wilson",WR,NYJ,GB,"Frank Reich","Jonathan Gannon",52,31,1,50,,0,48,12,START
8126,"Wan'Dale Robinson",WR,TEN,PHI,"Brian Daboll","Vic Fangio",47,25.1,2,50,,0,47.9,13,START
9997,"Zay Flowers",WR,BAL,NO,"Declan Doyle","Brandon Staley",50,,0,50,,0,47.9,14,START
6786,"CeeDee Lamb",WR,DAL,WAS,"Brian Schottenheimer","Daronte Jones",50,,0,50,,0,47.8,15,START
9487,"Parker Washington",WR,JAX,DEN,"Liam Coen","Vance Joseph",54,31.8,2,68,26.5,1,47.6,16,START
7569,"Nico Collins",WR,HOU,CIN,"Nick Caley","Al Golden",50,,0,50,,0,47.1,17,START
2449,"Stefon Diggs",WR,WAS,DAL,"David Blough","Christian Parker",50,,0,48,12.65,2,46.8,18,START
8137,"George Pickens",WR,DAL,WAS,"Brian Schottenheimer","Daronte Jones",50,,0,50,,0,46.7,19,START
10232,"Michael Wilson",WR,ARI,SEA,"Mike LaFleur","Mike Macdonald",60,41.5,1,30,8.25,4,46.6,20,START
5927,"Terry McLaurin",WR,WAS,DAL,"David Blough","Christian Parker",50,,0,50,,0,46.6,21,START
7049,"Jauan Jennings",WR,MIN,CHI,"Kevin O'Connell","Dennis Allen",54,31.3,3,43,9,1,46.3,22,START
5045,"Courtland Sutton",WR,DEN,JAX,"Davis Webb","Anthony Campanile",50,,0,60,20.6,1,45.8,23,START
6801,"Tee Higgins",WR,CIN,HOU,"Zac Taylor","Matt Burke",50,,0,50,,0,45.2,24,START
2216,"Mike Evans",WR,SF,MIA,"Kyle Shanahan","Jeff Hafley",38,12.1,1,50,,0,44.9,25,FLEX
12526,"Tetairoa McMillan",WR,CAR,ATL,"Brad Idzik","Jeff Ulbrich",50,,0,64,20.4,2,44.9,26,FLEX
8167,"Christian Watson",WR,GB,NYJ,"Matt LaFleur","Aaron Glenn",66,37.43,4,48,13.25,4,44.6,27,FLEX
9754,"Quentin Johnston",WR,LAC,LV,"Mike McDaniel","Rob Leonard",50,,0,50,,0,44.1,28,FLEX
5846,"DK Metcalf",WR,PIT,NE,"Mike McCarthy","Zak Kuhr",50,,0,50,,0,44,29,FLEX
7525,"DeVonta Smith",WR,PHI,TEN,"Sean Mannion","Robert Saleh",50,,0,50,,0,43.9,30,FLEX
8134,"Khalil Shakir",WR,BUF,DET,"Joe Brady","Kelvin Sheppard",50,,0,50,,0,43.2,31,FLEX
4983,"DJ Moore",WR,BUF,DET,"Joe Brady","Kelvin Sheppard",50,,0,49,13.4,4,43.1,32,FLEX
5947,"Jakobi Meyers",WR,JAX,DEN,"Liam Coen","Vance Joseph",54,31.8,2,59,16.38,4,43.1,33,FLEX
8148,"Jameson Williams",WR,DET,BUF,"Drew Petzing","Jim Leonhard",50,,0,50,,0,42.2,34,FLEX
11834,"Devaughn Vele",WR,NO,BAL,"Kellen Moore","Jesse Minter",50,,0,44,10.95,2,40.7,35,FLEX
7526,"Jaylen Waddle",WR,DEN,JAX,"Davis Webb","Anthony Campanile",50,,0,50,,0,40.7,36,FLEX
